Age,Gender,Residential,EmploymentStatus,MaritalStatus,HouseholdCategory,OftenTravel,TravellingFor,YearlyTravel,StayDuration,PeopleDuringTravel,LodgingBudget,Seasons,LodgingLocation,LodgingType
24,Male,Urban,Employed full-time,Single,M40,No,Businesses,2,3,5,1100,Winter,City Centers,Hotels
35,Female,Urban,Employed full-time,Married,M40,No,I don't travel,0,3,0,1050,Summer,City Centers,Hotels
29,Male,Urban,Employed full-time,Single,M40,No,Businesses,2,3,3,1000,Autumn,Beachfront,Hotels
18,Male,Rural,Student,Single,B40,Yes,Holiday,1,3,7,280,Autumn,City Centers,Airbnb
29,Male,Urban,Employed full-time,Single,B40,No,Both,1,4,7,450,Winter,City Centers,Hotels
18,Male,Urban,Student,Single,M40,No,Holiday,2,4,6,750,Winter,Beachfront,Hotels
21,Male,Urban,Unemployed,Single,M40,No,Holiday,2,3,5,700,Summer,Nature,Hotels
32,Female,Urban,Student,Single,B40,Yes,Holiday,3,3,2,200,"Year-round, I travel regularly",Countryside,Airbnb
23,Male,Rural,Employed part-time,Single,M40,No,Holiday,4,3,4,850,Summer,Beachfront,Hotels
18,Male,Urban,Student,Single,B40,No,I don't travel,1,2,5,700,Autumn,City Centers,Hotels
26,Female,Urban,Employed full-time,Single,B40,No,I don't travel,0,3,2,600,Winter,Beachfront,Hotels
63,Female,Urban,Retired,Widowed,M40,Yes,Holiday,2,3,5,250,"Year-round, I travel regularly",Countryside,Airbnb
39,Female,Urban,Unemployed,Married,M40,No,Businesses,2,3,4,400,Winter,Beachfront,Hotels
23,Female,Urban,Student,Single,M40,Yes,Holiday,2,5,7,350,Spring,City Centers,Hotels
38,Female,Urban,Employed full-time,Married,M40,No,Both,1,5,2,1000,Spring,City Centers,Hotels
65,Female,Urban,Retired,Married,M40,Yes,Businesses,2,7,2,300,Winter,Nature,Airbnb
40,Female,Urban,Employed full-time,Married,T20,No,I don't travel,0,3,0,1000,Winter,City Centers,Hotels
24,Female,Rural,Employed full-time,Single,M40,No,I don't travel,0,3,6,500,Winter,Nature,Hotels
65,Female,Urban,Retired,Married,B40,No,Holiday,2,10,2,700,Autumn,City Centers,Hotels
21,Male,Urban,Student,Single,M40,No,Holiday,1,4,8,780,Autumn,City Centers,Hotels
24,Female,Urban,Employed full-time,Married,B40,No,Holiday,4,4,6,600,Summer,Nature,Hotels
21,Female,Urban,Student,Single,B40,Yes,Holiday,2,3,5,250,Spring,Countryside,Airbnb
21,Female,Urban,Student,Single,B40,No,Holiday,1,3,4,300,Summer,Countryside,Airbnb
25,Male,Urban,Employed full-time,Single,M40,No,Holiday,1,3,6,500,Winter,City Centers,Hotels
21,Female,Urban,Employed part-time,Single,B40,No,Businesses,5,3,8,800,"Year-round, I travel regularly",City Centers,Hotels
22,Female,Urban,Student,Single,M40,No,Holiday,1,4,5,900,Winter,Countryside,Hotels
21,Male,Urban,Student,Single,M40,Yes,I don't travel,1,3,5,300,"Year-round, I travel regularly",City Centers,Airbnb
22,Female,Urban,Student,Single,B40,No,I don't travel,1,3,10,500,Winter,Nature,Airbnb
33,Male,Urban,Employed full-time,Married,B40,No,Holiday,3,3,4,1000,Winter,City Centers,Hotels
21,Male,Urban,Student,Single,T20,No,Holiday,3,3,6,1500,Winter,Nature,Hotels
66,Female,Urban,Retired,Married,B40,Yes,Holiday,2,8,6,900,Spring,Countryside,Airbnb
22,Female,Urban,Student,Single,M40,Yes,Holiday,3,3,6,500,"Year-round, I travel regularly",Countryside,Hotels
21,Female,Urban,Student,Single,B40,No,Holiday,2,3,4,700,Summer,Nature,Hotels
22,Female,Rural,Self-employed,Single,M40,Yes,Holiday,2,2,4,300,Autumn,Countryside,Airbnb
21,Male,Urban,Student,Single,B40,Yes,Holiday,3,6,4,300,"Year-round, I travel regularly",Nature,Airbnb
20,Male,Rural,Student,Single,T20,No,Holiday,3,3,5,400,"Year-round, I travel regularly",Beachfront,Hotels
30,Female,Urban,Employed full-time,Married,T20,No,Holiday,5,3,7,250,"Year-round, I travel regularly",Beachfront,Hotels
31,Female,Rural,Employed full-time,Single,B40,No,I don't travel,1,2,4,350,Winter,City Centers,Hotels
19,Female,Rural,Student,Single,B40,No,I don't travel,1,4,6,500,Autumn,Nature,Airbnb
21,Female,Urban,Student,Single,M40,Yes,Both,2,3,4,750,Summer,City Centers,Hotels
24,Male,Urban,Student,Single,M40,Yes,Businesses,4,3,5,500,"Year-round, I travel regularly",City Centers,Hotels
25,Female,Rural,Employed full-time,Single,B40,Yes,Holiday,4,3,5,650,Autumn,City Centers,Airbnb
35,Female,Urban,Employed full-time,Married,M40,No,Holiday,1,7,2,800,"Year-round, I travel regularly",City Centers,Hotels
21,Male,Urban,Student,Single,M40,No,Holiday,2,3,5,200,Autumn,Nature,Airbnb
28,Female,Urban,Student,Single,B40,Yes,Holiday,1,4,2,400,Winter,City Centers,Airbnb
35,Male,Rural,Employed full-time,Married,M40,Yes,Both,3,7,4,500,Autumn,Nature,Airbnb
25,Female,Urban,Student,Single,B40,No,I don't travel,2,3,5,450,Winter,City Centers,Airbnb
25,Female,Urban,Employed full-time,Single,B40,No,Holiday,1,4,6,600,Winter,Nature,Hotels
22,Male,Urban,Student,Single,B40,Yes,Holiday,1,3,7,400,Autumn,Nature,Airbnb
29,Female,Urban,Employed full-time,Single,B40,No,Holiday,1,4,8,1000,Winter,Beachfront,Hotels
35,Male,Urban,Employed full-time,Married,M40,No,Holiday,5,5,5,700,Spring,Countryside,Hotels
22,Female,Urban,Student,Single,B40,Yes,Both,3,5,3,500,"Year-round, I travel regularly",Nature,Airbnb
20,Male,Rural,Student,Single,T20,Yes,I don't travel,0,1,1,350,Summer,City Centers,Airbnb
20,Female,Urban,Student,Single,M40,No,Holiday,2,3,6,500,Winter,City Centers,Hotels
23,Female,Urban,Employed full-time,Single,B40,No,Businesses,1,3,1,800,Spring,Beachfront,Hotels
20,Male,Rural,Student,Single,M40,No,Holiday,4,2,4,750,"Year-round, I travel regularly",City Centers,Hotels
19,Male,Urban,Student,Single,B40,Yes,Businesses,4,3,4,999,"Year-round, I travel regularly",City Centers,Hotels
26,Male,Urban,Employed full-time,Married,M40,No,Holiday,4,3,2,1050,"Year-round, I travel regularly",Countryside,Hotels
21,Male,Rural,Student,Single,B40,Yes,Businesses,2,3,4,800,Autumn,City Centers,Hotels
40,Male,Rural,Employed full-time,Single,B40,No,Holiday,1,3,3,500,Winter,City Centers,Hotels
22,Female,Rural,Student,Single,T20,No,Holiday,2,3,6,400,Winter,Nature,Hotels
32,Female,Urban,Employed full-time,Single,B40,No,I don't travel,3,3,8,900,Autumn,Countryside,Hotels
29,Female,Urban,Employed full-time,Married,T20,No,Holiday,2,4,1,600,Winter,City Centers,Hotels
23,Female,Rural,Employed full-time,Single,B40,No,Holiday,1,3,8,300,Winter,Nature,Airbnb
27,Female,Urban,Employed full-time,Single,M40,No,Holiday,1,3,4,500,Spring,City Centers,Hotels
27,Female,Rural,Unemployed,Single,B40,Yes,Both,5,5,6,50,Summer,Countryside,Airbnb
24,Female,Urban,Student,Single,M40,No,I don't travel,0,3,7,500,Winter,Beachfront,Hotels
32,Female,Urban,Employed full-time,Single,B40,No,Holiday,1,3,5,800,Winter,Beachfront,Hotels
34,Female,Urban,Employed full-time,Married,M40,No,Holiday,2,3,4,900,Spring,City Centers,Hotels
19,Male,Urban,Employed full-time,Single,M40,No,Holiday,3,4,7,500,Autumn,City Centers,Hotels
21,Male,Urban,Student,Single,B40,Yes,Holiday,1,3,6,250,Winter,Nature,Airbnb
20,Male,Urban,Student,Single,B40,Yes,Holiday,5,3,3,450,"Year-round, I travel regularly",Countryside,Airbnb
25,Female,Rural,Employed full-time,Single,M40,Yes,Holiday,5,3,7,1000,"Year-round, I travel regularly",Nature,Hotels
25,Female,Urban,Student,Single,B40,Yes,Holiday,1,3,8,300,Autumn,Nature,Airbnb
34,Female,Rural,Employed full-time,Married,M40,No,Holiday,7,3,5,400,"Year-round, I travel regularly",Beachfront,Hotels
44,Female,Urban,Employed full-time,Married,M40,Yes,Holiday,3,3,3,500,Summer,City Centers,Hotels
21,Male,Urban,Student,Single,B40,Yes,Holiday,5,1,5,450,"Year-round, I travel regularly",Nature,Airbnb
25,Male,Rural,Employed full-time,Single,M40,No,I don't travel,2,2,1,800,Winter,Beachfront,Hotels
28,Female,Urban,Student,Single,B40,No,Holiday,1,3,5,1000,Spring,Beachfront,Hotels
23,Female,Urban,Employed full-time,Single,M40,No,Holiday,2,3,9,600,Winter,Nature,Hotels
21,Male,Urban,Student,Single,B40,No,Holiday,1,1,5,400,Summer,Countryside,Airbnb
21,Male,Urban,Student,Single,T20,Yes,Holiday,5,3,5,250,Summer,Nature,Airbnb
19,Female,Urban,Student,Single,B40,Yes,Both,30,3,4,150,"Year-round, I travel regularly",City Centers,Airbnb
20,Female,Rural,Student,Single,B40,No,Holiday,2,8,5,500,Summer,Nature,Hotels
26,Female,Urban,Unemployed,Single,B40,No,Both,2,3,4,600,Autumn,Nature,Hotels
23,Female,Urban,Employed full-time,Single,M40,No,Holiday,3,4,3,500,Summer,Beachfront,Hotels
21,Male,Urban,Student,Single,B40,No,Holiday,2,3,8,200,Autumn,Nature,Airbnb
25,Female,Urban,Employed full-time,Single,M40,Yes,Both,3,3,4,400,Summer,Beachfront,Hotels
18,Female,Urban,Student,Single,B40,Yes,Holiday,4,3,6,300,Winter,Nature,Airbnb
22,Male,Urban,Student,Single,B40,No,I don't travel,1,1,6,700,Spring,Countryside,Airbnb
20,Female,Urban,Student,Single,B40,No,Holiday,13,4,4,200,Spring,Nature,Airbnb
19,Male,Urban,Employed full-time,Single,M40,No,Businesses,2,5,2,200,Spring,Nature,Hotels
24,Female,Urban,Unemployed,Single,T20,No,Holiday,3,4,7,350,Autumn,Countryside,Airbnb
22,Female,Urban,Student,Single,B40,Yes,Holiday,10,3,5,500,"Year-round, I travel regularly",Beachfront,Airbnb
23,Female,Urban,Student,Single,B40,No,Holiday,3,3,5,400,Winter,Countryside,Hotels
23,Male,Urban,Student,Single,M40,Yes,Holiday,3,6,4,300,Spring,Nature,Airbnb
19,Female,Urban,Student,Single,B40,No,Holiday,2,2,6,200,Autumn,Beachfront,Airbnb
23,Male,Urban,Employed full-time,Single,M40,No,Businesses,3,5,4,350,"Year-round, I travel regularly",Countryside,Hotels
19,Male,Urban,Student,Single,B40,Yes,Holiday,3,3,6,350,Autumn,Nature,Airbnb
20,Female,Rural,Student,Single,M40,Yes,Holiday,2,2,8,200,Autumn,Countryside,Airbnb
